CAR NAME,LOCATION,PRICE IN NAIRA,USE HISTORY,MILAGE,TRANSMISSION
Ford Edge 2007 Black,"Lagos State, Amuwo-Odofin","4,395,562",Local Used,301723 km,Automatic
Hyundai Sonata 2011 Black,"Lagos State, Surulere","11,235,000",Foreign Used,245115 km,Automatic
Nissan Xterra Automatic 2005 Black,"Lagos State, Ikorodu","4,200,000",Local Used,174176 km,Automatic
Honda Accord 2004 Silver,"Abuja (FCT), Gwarinpa","2,310,000",Local Used,197446 km,Automatic
Mercedes-Benz G-Class 2009 Black,"Abuja (FCT), Gwarinpa","47,840,000",Local Used,86571 km,Automatic
Toyota Camry 2000 Gray,"Edo State, Benin City","2,100,000",Local Used,295262 km,Automatic
Land Rover Range Rover Sport 2012 Gray,"Lagos State, Ikorodu","7,245,000",Local Used,117415 km,Automatic
Honda Pilot 2004 Silver,"Abuja (FCT), Gudu","3,570,000",Local Used,324712 km,Automatic
Lexus RX 350 2009 Blue,"Rivers State, Port-Harcourt","9,360,000",Local Used,294180 km,Automatic
Toyota Camry 2010 Silver,"Lagos State, Alimosho","5,439,000",Local Used,112591 km,Automatic
Nissan Frontier 2007 Brown,"Abuja (FCT), Jabi","4,830,000",Local Used,192912 km,Automatic
Toyota Camry 2008 Red,"Lagos State, Alimosho","7,800,000",Local Used,174233 km,Automatic
Honda Civic 2019 Black,"Abuja (FCT), Gudu","33,075,000",Local Used,58003 km,CVT
Ford Explorer 2005 Gold,"Lagos State, Surulere","2,709,000",Local Used,291409 km,Automatic
Toyota Camry 2005 Gold,"Lagos State, Magodo","8,736,000",Foreign Used,491030 km,Automatic
Toyota Corolla XSE 2020 Silver,"Lagos State, Ikeja","29,400,000",Foreign Used,195024 km,Automatic
Toyota Avalon 2007 Blue,"Abuja (FCT), Jabi","4,200,000",Local Used,254890 km,Automatic
Porsche Cayenne 2003 Gray,"Lagos State, Yaba","10,500,000",Local Used,253600 km,Automatic
Toyota Corolla 2015 Blue,"Kaduna State, Kaduna / Kaduna State","13,520,000",Local Used,142159 km,Automatic
Pontiac Vibe Automatic 2003 Gray,"Kaduna State, Kaduna / Kaduna State","6,032,000",Local Used,1 km,Automatic
Ford Edge 2016 Blue,"Lagos State, Surulere","19,950,000",Local Used,173514 km,Automatic
Honda Accord 2013 Silver,"Lagos State, Lekki","8,505,000",Local Used,232014 km,Automatic
Ford Explorer 2014 Black,"Ogun State, Abeokuta North","8,925,000",Local Used,114935 km,Automatic
Lexus ES 2007 Blue,"Oyo State, Ibadan","6,300,000",Local Used,170837 km,Automatic
Mercedes-Benz C230 2007 Silver,"Abuja (FCT), Lugbe District","4,935,000",Foreign Used,327510 km,Automatic
Toyota Matrix 2005 Blue,"Abuja (FCT), Gudu","3,360,000",Local Used,254325 km,Automatic
Toyota Avalon 2006 Gray,"Lagos State, Kosofe","4,452,000",Local Used,249602 km,Automatic
Toyota Camry 2009 Black,"Oyo State, Ibadan","5,712,000",Local Used,179481 km,Automatic
Acura TL 2008 Black,"Abuja (FCT), Gudu","6,825,000",Local Used,344870 km,Automatic
Honda Accord 2003 Gold,"Abuja (FCT), Gwagwalada","3,640,000",Local Used,170579 km,Automatic
Toyota Land Cruiser Prado 2012 Black,"Abuja (FCT), Kubwa","28,350,000",Local Used,23618 km,Automatic
Nissan Frontier 2005 White,"Abuja (FCT), Gwarinpa","8,400,000",Local Used,353908 km,Automatic
Kia Optima 2012 Gray,"Abuja (FCT), Wuse","11,025,000",Foreign Used,66114 km,Automatic
Toyota Sequoia 2001 Blue,"Oyo State, Ibadan","5,775,000",Local Used,160181 km,Automatic
Honda Accord 1998 Black,"Lagos State, Kosofe","1,785,000",Local Used,Automatic,Automatic
Toyota Highlander 2012 White,"Ogun State, Abeokuta North","17,680,000",Local Used,181401 km,Automatic
Toyota Camry 2007 Gray,"Lagos State, Ogba","7,280,000",Local Used,151370 km,Automatic
Toyota Avalon 2006 Gold,"Lagos State, Amuwo-Odofin","4,672,500",Local Used,184052 km,Automatic
Mercedes-Benz S-Class 2007 Black,"Abuja (FCT), Gwarinpa","9,135,000",Local Used,346695 km,Automatic
Toyota Camry 2005 Burgandy,"Lagos State, Alimosho","6,738,375",Foreign Used,513744 km,Automatic
Mercedes-Benz M Class 2006 Silver,"Lagos State, Ajah","8,320,000",Local Used,297690 km,Automatic
Toyota Venza V6 2012 Black,"Ondo State, Akure","14,560,000",Local Used,265174 km,Automatic
Honda Civic LX 4dr Sedan (2.0L 4cyl) 2017 Silver,"Lagos State, Lekki","18,720,000",Foreign Used,63862 km,Automatic
Hyundai Sonata 2011 Gray,"Lagos State, Alimosho","9,450,000",Foreign Used,256982 km,Automatic
Mazda 626 2007 Gray,"Lagos State, Ikorodu","7,245,000",Local Used,304648 km,Automatic
Toyota Corolla 2010 Black,"Lagos State, Ikeja","8,216,000",Local Used,200797 km,Automatic
Toyota Camry 2008 Gold,"Lagos State, Ogudu","6,300,000",Local Used,97490 km,Automatic
Honda Accord 2007 Gray,"Lagos State, Abule Egba","3,640,000",Local Used,129224 km,Automatic
Toyota Corolla 2007 Gray,"Enugu State, Enugu","3,675,000",Local Used,320000 km,Automatic
Kia Mohave 2016 Black,"Abuja (FCT), Garki 2","6,300,000",Local Used,140728 km,Automatic
Mercedes-Benz C200 2001 Silver,"Abuja (FCT), Lugbe District","3,675,000",Local Used,257475 km,Automatic
Peugeot 307 1.6 Break Oxygo 2007 Silver,"Abuja (FCT), Lugbe District","2,171,400",Local Used,411880 km,Manual
Toyota 4-Runner 2014 Gray,"Akwa Ibom State, Uyo","28,350,000",Local Used,93771 km,Automatic
Toyota Venza 2010 Purple,"Lagos State, Ikorodu","14,560,000",Local Used,125213 km,Automatic
Toyota Camry 2002 Gray,"Lagos State, Ojodu","3,952,000",Local Used,139581 km,Automatic
Ford Explorer 2015 Black,"Lagos State, Lekki","9,660,000",Local Used,63840 km,Automatic
Toyota Camry 2007 Gray,"Abuja (FCT), Lugbe District","6,300,000",Local Used,414567 km,Automatic
Toyota Camry 2010 Black,"Lagos State, Lekki","6,132,000",Local Used,128933 km,Automatic
Nissan 240SX 2000 Silver,"Enugu State, Enugu","1,890,000",Local Used,300000 km,Manual
Toyota RAV4 2021 Black,"Lagos State, Surulere","38,850,000",Foreign Used,22773 km,Automatic
Toyota Camry 2008 Black,"Abia State, Aba North","7,800,000",Local Used,235716 km,Automatic
Toyota Corolla 2005 Gray,"Abuja (FCT), Gudu","5,000,000",Local Used,289015 km,Automatic
Lexus RX 350 2008 Black,"Lagos State, Yaba","10,400,000",Local Used,304450 km,Automatic
Acura RDX 2008 Gray,"Abuja (FCT), Wuse","6,825,000",Local Used,146223 km,Automatic
Toyota Camry 2011 Black,"Imo State, Owerri","9,360,000",Local Used,262082 km,Automatic
Peugeot 307 2004 Blue,"Abuja (FCT), Garki 2","4,160,000",Local Used,228578 km,Manual
Mazda 323 1998 Silver,"Abuja (FCT), Asokoro","2,100,000",Local Used,196817 km,Manual
Toyota Sienna 2005 White,"Lagos State, Alimosho","6,760,000",Local Used,228098 km,Automatic
Toyota Avensis 2014 Silver,"Abuja (FCT), Lugbe District","11,550,000",Local Used,114782 km,Automatic
Mazda CX-9 2008 Gray,"Lagos State, Yaba","4,830,000",Local Used,299811 km,Automatic
Hyundai Santa Fe 2008 Red,"Abuja (FCT), Wuse","4,725,000",Local Used,182250 km,Automatic
Toyota Camry 2008 Silver,"Rivers State, Port-Harcourt","5,460,000",Local Used,109670 km,Automatic
Lexus NX 2020 Gray,"Lagos State, Lekki","42,000,000",Local Used,68842 km,Automatic
Toyota Camry 2011 Silver,"Lagos State, Lekki","11,232,000",Foreign Used,212841 km,Automatic
Toyota Highlander 2003 Green,"Lagos State, Ogba","5,512,000",Local Used,263757 km,Automatic
Kia Sportage 2005 Brown,"Lagos State, Yaba","3,990,000",Local Used,172369 km,Automatic
Peugeot 206 CC 1999 Black,"Abuja (FCT), Karu","2,940,000",Local Used,231548 km,Manual
Honda Accord 2004 Gray,"Lagos State, Amuwo-Odofin","3,120,000",Local Used,241748 km,Automatic
Toyota Corolla Sedan 2003 Blue,"Lagos State, Ikorodu","4,784,000",Local Used,195455 km,Automatic
Toyota Corolla 2006 Blue,"Lagos State, Isolo","5,928,000",Local Used,206794 km,Automatic
Honda Civic 2008 Gray,"Lagos State, Ikotun/Igando","4,160,000",Local Used,192582 km,Automatic
Toyota Highlander 2019 Gray,"Lagos State, Mushin","35,700,000",Foreign Used,234636 km,Automatic
Honda Accord 2009 Black,"Abuja (FCT), Karu","4,373,250",Local Used,165314 km,Automatic
Mercedes-Benz M Class 2014 Black,"Lagos State, Ilupeju","34,320,000",Foreign Used,98239 km,Automatic
Toyota Corolla 2009 Black,"Abuja (FCT), Wuse","8,320,000",Local Used,184362 km,Automatic
Toyota Camry 2009 Red,"Enugu State, Enugu","7,280,000",Local Used,131724 km,Automatic
Volkswagen Tiguan 2012 Black,"Lagos State, Ojodu","7,875,000",Local Used,33033 km,Automatic
Mercedes-Benz GLC-Class 2016 Gray,"Lagos State, Lekki","52,000,000",Local Used,78391 km,Automatic
Toyota Camry 2007 Blue,"Lagos State, Surulere","5,145,000",Local Used,138292 km,Automatic
Toyota Camry 2005 Black,"Ogun State, Abeokuta North","5,200,000",Local Used,275824 km,Automatic
Lexus IS 2006 Silver,"Ogun State, Abeokuta North","7,350,000",Local Used,115558 km,Automatic
Lexus ES 2013 Gray,"Abuja (FCT), Wuse","18,720,000",Local Used,253200 km,Automatic
Toyota RAV4 2008 Green,"Rivers State, Port-Harcourt","8,840,000",Local Used,124968 km,Automatic
Toyota Camry 2011 Gray,"Lagos State, Ikeja","10,038,000",Foreign Used,389255 km,Automatic
BMW X5 2009 Black,"Lagos State, Alimosho","13,125,000",Foreign Used,185402 km,Automatic
BMW X5 2008 White,"Oyo State, Ibadan","7,350,000",Local Used,182927 km,Automatic
Kia Sorento 2005 Silver,"Lagos State, Yaba","5,250,000",Local Used,163230 km,Automatic
Toyota Highlander Limited 3.5l 4WD 2013 Black,"Abuja (FCT), Lugbe District","14,505,750",Local Used,207282 km,Automatic
Lexus LS 460 L 2012 Black,"Lagos State, Ikorodu","10,500,000",Foreign Used,277797 km,Automatic
Acura MDX 2008 Red,"Lagos State, Abule Egba","7,280,000",Local Used,190082 km,Automatic
Suzuki VS 2007 Black,"Abuja (FCT), Gwarinpa","5,250,000",Local Used,262550 km,Automatic
Toyota Sienna 2023 Black,"Lagos State, Amuwo-Odofin","66,675,000",Foreign Used,160932 km,Automatic
Chevrolet Nubira 2005 Silver,"Lagos State, Kosofe","3,675,000",Local Used,251861 km,Manual
Nissan Murano 2004 Gray,"Lagos State, Magodo","4,095,000",Local Used,190166 km,Automatic
Mercedes-Benz C350 2012 Gray,"Abuja (FCT), Gwarinpa","20,072,000",Foreign Used,133835 km,Automatic
Toyota Camry 2.3 2007 Green,"Lagos State, Ikorodu","5,827,500",Local Used,86426 km,Automatic
Nissan UA-QG 2007 White,"Lagos State, Ikorodu","8,925,000",Foreign Used,Manual,Manual
Toyota Corolla 2010 Gray,"Abuja (FCT), Asokoro","8,320,000",Local Used,119173 km,Automatic
Honda Accord 2007 Black,"Lagos State, Alimosho","2,625,000",Local Used,172188 km,Automatic
Honda Accord 2004 Purple,"Lagos State, Ikorodu","8,400,000",Foreign Used,225429 km,Automatic
Toyota Camry 2010 Blue,"Abuja (FCT), Gudu","6,825,000",Local Used,138208 km,Automatic
Lexus RX 300 2000 Black,"Oyo State, Ibadan","4,160,000",Local Used,221926 km,Automatic
Toyota RAV4 2013 Black,"Lagos State, Alimosho","24,960,000",Foreign Used,116196 km,Automatic
Honda Odyssey 2008 White,"Rivers State, Port-Harcourt","3,780,000",Local Used,453745 km,Automatic
Toyota RAV4 2015 Gray,"Lagos State, Isolo","17,850,000",Foreign Used,93158 km,Automatic
Toyota Camry 2007 Blue,"Lagos State, Alimosho","6,760,000",Local Used,157269 km,Automatic
Toyota Corolla 2009 Silver,"Lagos State, Amuwo-Odofin","7,800,000",Local Used,314699 km,Automatic
Mercedes-Benz S-Class 2008 Black,"Lagos State, Lekki","10,500,000",Foreign Used,205832 km,Automatic
Infiniti QX56 2011 Ivory,"Lagos State, Isolo","15,750,000",Local Used,91866 km,Automatic
Mazda CX-7 2007 Blue,"Delta State, Oshimili South","4,200,000",Local Used,180466 km,Automatic
Honda Shuttle 2000 Blue,"Lagos State, Ogba","2,415,000",Local Used,403229 km,Automatic
Ford Fusion 2010 White,"Enugu State, Enugu","3,465,000",Local Used,375096 km,Automatic
Nissan Armada 2008 Gold,"Lagos State, Abule Egba","7,035,000",Local Used,48696 km,Automatic
Ford Edge 2011 Brown,"Lagos State, Lekki","7,644,000",Local Used,146477 km,Automatic
Mercedes-Benz GLE-Class 2020 Gray,"Lagos State, Surulere","95,680,000",Local Used,92023 km,Automatic
Nissan Xterra SE 4x4 2006 Blue,"Lagos State, Ojodu","2,257,500",Local Used,346421 km,Automatic
Honda Accord 2017 Black,"Lagos State, Yaba","20,800,000",Local Used,91976 km,Automatic
Nissan Almera Tino 2004 Silver,"Lagos State, Ojodu","2,730,000",Local Used,283759 km,Automatic
Honda Accord 2008 Gray,"Oyo State, Ibadan","4,725,000",Local Used,94636 km,Automatic
Hyundai Sonata 2018 Black,"Oyo State, Ibadan","22,880,000",Foreign Used,69214 km,Automatic
Toyota Corolla 2019 Red,"Delta State, Oshimili South","22,050,000",Local Used,79506 km,CVT
Nissan Rogue SV 2012 Silver,"Imo State, Owerri","11,970,000",Local Used,188852 km,CVT
Toyota Corolla 2016 Gray,"Lagos State, Ogba","10,500,000",Local Used,128153 km,Automatic
Honda Accord 2007 Black,"Abuja (FCT), Garki 2","4,160,000",Local Used,171592 km,Automatic
Nissan X-Trail 2005 Black,"Abuja (FCT), Wuse","3,675,000",Local Used,422001 km,Automatic
Toyota Venza 2015 Silver,"Abuja (FCT), Wuse","21,000,000",Foreign Used,129692 km,Automatic
Lexus ES 350 2010 Gold,"Imo State, Owerri","8,925,000",Local Used,221450 km,Automatic
Toyota RAV4 2008 Red,"Abuja (FCT), Gudu","7,140,000",Local Used,248717 km,Automatic
Toyota Highlander 2022 White,"Lagos State, Isolo","97,760,000",Foreign Used,47985 km,Automatic
Toyota Camry 2004 Silver,"Lagos State, Isolo","4,160,000",Local Used,2106116 km,Automatic
Mercedes-Benz GLE-Class 2020 Silver,"Lagos State, Lekki","109,200,000",Foreign Used,154264 km,Automatic
Honda Accord 2018 Gray,"Lagos State, Yaba","28,080,000",Foreign Used,113637 km,Automatic
Toyota Camry 2011 Gold,"Rivers State, Port-Harcourt","9,450,000",Local Used,278832 km,CVT
Kia Sedona 2006 Silver,"Ogun State, Abeokuta North","3,150,000",Local Used,301422 km,Automatic
Lexus RX 350 2010 Gray,"Ondo State, Akure","16,800,000",Local Used,164667 km,Automatic
Toyota Highlander 2012 Blue,"Lagos State, Ikeja","23,400,000",Foreign Used,228197 km,Automatic
Hyundai Santa Fe 2017 Gray,"Lagos State, Yaba","23,651,250",Foreign Used,86657 km,Automatic
Honda Accord 2007 Gray,"Oyo State, Ibadan","2,415,000",Local Used,72715 km,Automatic
Lexus RX 350 2015 Silver,"Lagos State, Alimosho","27,300,000",Foreign Used,248538 km,Automatic
Toyota Highlander Base FWD 2004 Red,"Abuja (FCT), Lugbe District","4,904,235",Local Used,453259 km,Automatic
Chevrolet Optra 2009 Red,"Rivers State, Port-Harcourt","2,100,000",Local Used,Automatic,Automatic
Toyota Avalon 2003 Black,"Lagos State, Ojodu","4,160,000",Local Used,424439 km,Automatic
Hyundai Sonata 2009 Black,"Abuja (FCT), Gwagwalada","4,725,000",Local Used,179927 km,Automatic
Toyota Corolla 2014 Black,"Abuja (FCT), Garki 2","16,640,000",Foreign Used,93071 km,Automatic
Lexus ES 2002 Blue,"Lagos State, Lekki","5,250,000",Local Used,365708 km,Automatic
Toyota Camry 2.4 LE 2008 Blue,"Abuja (FCT), Lugbe District","7,072,000",Local Used,255204 km,Automatic
Hyundai Santa Fe 2022 Black,"Delta State, Oshimili South","27,300,000",Local Used,58011 km,Automatic
Toyota Corolla 2008 Red,"Abuja (FCT), Gwarinpa","7,072,000",Local Used,100937 km,Automatic
Mazda 626 2000 Gold,"Oyo State, Ibadan","2,100,000",Local Used,390042 km,Automatic
Toyota Camry 2007 Silver,"Oyo State, Ibadan","6,760,000",Local Used,111950 km,Automatic
Hyundai Tucson 2009 Black,"Lagos State, Ikeja","4,725,000",Local Used,332658 km,Automatic
Toyota Camry 2008 White,"Abuja (FCT), Lugbe District","4,830,000",Local Used,424806 km,Automatic
Toyota Corolla 2005 Silver,"Lagos State, Amuwo-Odofin","5,000,000",Local Used,169420 km,Automatic
Toyota Corolla 2006 Blue,"Lagos State, Amuwo-Odofin","6,240,000",Local Used,482800 km,Automatic
Honda Accord 2005 Black,"Lagos State, Isolo","2,268,000",Local Used,194416 km,Automatic
Toyota Venza 2013 White,"Lagos State, Lekki","15,600,000",Local Used,117557 km,Automatic
Toyota RAV4 2005 Silver,"Lagos State, Isolo","3,255,000",Local Used,236887 km,Automatic
Ford Fusion 2015 Burgandy,"Lagos State, Ikotun/Igando","8,925,000",Foreign Used,306572 km,Automatic
Toyota Camry 2007 Gray,"Lagos State, Ilupeju","5,934,600",Local Used,153206 km,Automatic
Toyota Corolla 2014 Gray,"Oyo State, Ibadan","12,480,000",Local Used,96337 km,Automatic
Toyota Corolla 2005 Red,"Abuja (FCT), Karu","5,040,000",Local Used,235145 km,Automatic
Toyota Corolla 2009 Silver,"Ondo State, Akure","8,320,000",Local Used,234401 km,Automatic
Mercedes-Benz M Class ML 350 4Matic 2012 White,"Lagos State, Amuwo-Odofin","18,585,000",Local Used,201262 km,Automatic
Toyota Highlander 2018 Burgandy,"Abuja (FCT), Lugbe District","42,000,000",Foreign Used,54097 km,Automatic
