LOCATION,CAR NAME,PRICE IN NAIRA,USE HISTORY,MILAGE,TRANSMISSION
"Abuja (FCT), Asokoro",Mercedes-Benz E350 2010 Black,"11,440,000",Local Used,230580 km,Automatic
"Abuja (FCT), Gudu",Honda Accord 2005 Gold,"2,625,000",Local Used,232645 km,Automatic
"Lagos State, Alimosho",Toyota Camry 2005 Green,"3,885,000",Local Used,116224 km,Automatic
"Lagos State, Alimosho",Kia Rio 2008 White,"3,444,000",Local Used,169196 km,Automatic
"Edo State, Benin City",Lexus RX 330 2005 Blue,"8,190,000",Local Used,196667 km,Automatic
"Imo State, Owerri",Lexus GS 300 Automatic 2006 Blue,"5,935,125",Local Used,311288 km,Automatic
"Abuja (FCT), Jabi",Mercedes-Benz C230 2007 Silver,"3,990,000",Local Used,298387 km,Automatic
"Lagos State, Ojodu",Mitsubishi Pajero 2008 Black,"15,750,000",Local Used,136433 km,Automatic
"Abuja (FCT), Central Business District",Toyota Camry 2020 Black,"31,500,000",Foreign Used,64125 km,Automatic
"Ondo State, Akure",Toyota Camry 2011 Red,"7,800,000",Local Used,342483 km,Automatic
"Lagos State, Ilupeju",Dodge RAM 2011 Silver,"13,335,000",Local Used,216221 km,Automatic
"Lagos State, Alimosho",Toyota Camry 2007 Blue,"7,696,000",Local Used,452885 km,Automatic
"Lagos State, Abule Egba",Toyota RAV4 2002 Gold,"3,087,000",Local Used,255082 km,Automatic
"Lagos State, Ikotun/Igando",Hyundai Sonata 2013 Black,"11,156,250",Foreign Used,223199 km,Automatic
"Ondo State, Akure",Lexus RX 330 2006 Gray,"9,360,000",Local Used,318396 km,Automatic
"Lagos State, Ilupeju",Toyota Camry 2010 Red,"9,360,000",Local Used,167311 km,Automatic
"Lagos State, Lekki",Mercedes-Benz GLE-Class 2020 White,"99,750,000",Foreign Used,62208 km,Automatic
"Rivers State, Port-Harcourt",Toyota Hilux 2013 White,"15,225,000",Local Used,93632 km,Manual
"Abuja (FCT), Lugbe District",Infiniti G35 2006 Gray,"4,200,000",Local Used,258440 km,Automatic
"Lagos State, Yaba",Toyota Highlander 2005 Silver,"4,725,000",Local Used,221075 km,Automatic
"Lagos State, Ojodu",Ford Escape 2013 Gray,"7,800,000",Local Used,236879 km,Automatic
"Enugu State, Enugu",Toyota Corolla 2003 Black,"3,906,000",Local Used,146018 km,Automatic
"Lagos State, Kosofe",Toyota Corolla 2005 Red,"5,720,000",Local Used,280163 km,Automatic
"Abia State, Umuahia",Nissan Pathfinder 2001 Silver,"2,625,000",Local Used,138002 km,Automatic
"Lagos State, Ikeja",Honda Accord 2009 Gray,"4,786,875",Local Used,334670 km,Automatic
"Lagos State, Kosofe",Toyota Highlander 2002 Silver,"4,326,000",Local Used,413265 km,Automatic
"Abuja (FCT), Karu",Hyundai Accent 2008 White,"3,675,000",Local Used,231524 km,Manual
"Abuja (FCT), Garki 2",Honda Pilot 2013 White,"9,951,375",Local Used,103733 km,Automatic
"Abuja (FCT), Kubwa",BMW 3 Series 2006 Gray,"4,725,000",Local Used,227040 km,Automatic
"Ondo State, Akure",Opel Zafira 2005 Blue,"2,730,000",Local Used,154810 km,Automatic
"Lagos State, Isolo",Toyota Avalon 2005 Black,"4,641,000",Local Used,149398 km,Automatic
"Lagos State, Amuwo-Odofin",Toyota Venza 2013 White,"16,059,748",Foreign Used,185524 km,Automatic
"Lagos State, Ikeja",Lexus LS 2007 Green,"5,775,000",Local Used,112376 km,Automatic
"Ogun State, Abeokuta North",Mazda CX-9 2012 Gray,"6,300,000",Local Used,251972 km,Automatic
