LOCATION,CAR NAME,PRICE IN NAIRA,USE HISTORY,MILAGE,TRANSMISSION
"Lagos State, Yaba",Mercedes-Benz GLE-Class 2017 White,"52,000,000",Foreign Used,125153 km,Automatic
"Abuja (FCT), Kubwa",Honda Accord 2006 Black,"3,640,000",Local Used,259001 km,Automatic
"Ogun State, Abeokuta North",Opel Zafira 2003 Red,"2,100,000",Local Used,Manual,Manual
"Lagos State, Alimosho",Toyota Camry 2013 Black,"13,125,000",Foreign Used,179031 km,Automatic
"Abuja (FCT), Wuse",Mercedes-Benz GLK-Class 2013 Red,"15,750,000",Local Used,256894 km,Automatic
"Lagos State, Amuwo-Odofin",Toyota RAV4 2008 Silver,"8,840,000",Local Used,203122 km,Automatic
"Abuja (FCT), Central Business District",Toyota Camry 2001 Gold,"2,600,000",Local Used,325453 km,Automatic
"Edo State, Benin City",Toyota Venza 2014 Red,"13,125,000",Local Used,102682 km,Automatic
"Lagos State, Ikorodu",Nissan Altima 2010 Blue,"3,675,000",Local Used,123451 km,Automatic
"Lagos State, Lekki",Toyota RAV4 2011 Blue,"10,712,000",Local Used,122986 km,Automatic
"Oyo State, Ibadan",Toyota Sienna 2005 Gold,"5,250,000",Local Used,199207 km,Automatic
"Oyo State, Ibadan",Nissan Rogue 2010 Gray,"6,615,000",Local Used,219508 km,Automatic
"Lagos State, Ikoyi",Lexus RX 330 2004 Silver,"8,925,000",Foreign Used,135019 km,Automatic
"Lagos State, Alimosho",Toyota Corolla 2009 Black,"2,362,500",Local Used,213974 km,Manual
"Lagos State, Abule Egba",Lexus ES 2007 Gray,"8,400,000",Local Used,240032 km,Automatic
"Rivers State, Port-Harcourt",BMW 328i 2012 Silver,"12,075,000",Local Used,275836 km,CVT
"Abuja (FCT), Gwarinpa",BMW 323i 2006 Black,"6,825,000",Local Used,197446 km,Manual
"Lagos State, Mushin",Kia Sorento 2014 Silver,"10,500,000",Local Used,73746 km,Automatic
"Lagos State, Amuwo-Odofin",Ford Edge 2007 Black,"4,395,562",Local Used,301723 km,Automatic
"Lagos State, Surulere",Hyundai Sonata 2011 Black,"11,235,000",Foreign Used,245115 km,Automatic
"Lagos State, Ikorodu",Nissan Xterra Automatic 2005 Black,"4,200,000",Local Used,174176 km,Automatic
"Abuja (FCT), Gwarinpa",Honda Accord 2004 Silver,"2,310,000",Local Used,197446 km,Automatic
"Abuja (FCT), Gwarinpa",Mercedes-Benz G-Class 2009 Black,"47,840,000",Local Used,86571 km,Automatic
"Edo State, Benin City",Toyota Camry 2000 Gray,"2,100,000",Local Used,295262 km,Automatic
"Lagos State, Ikorodu",Land Rover Range Rover Sport 2012 Gray,"7,245,000",Local Used,117415 km,Automatic
"Abuja (FCT), Gudu",Honda Pilot 2004 Silver,"3,570,000",Local Used,324712 km,Automatic
"Rivers State, Port-Harcourt",Lexus RX 350 2009 Blue,"9,360,000",Local Used,294180 km,Automatic
"Lagos State, Alimosho",Toyota Camry 2010 Silver,"5,439,000",Local Used,112591 km,Automatic
"Abuja (FCT), Jabi",Nissan Frontier 2007 Brown,"4,830,000",Local Used,192912 km,Automatic
"Lagos State, Alimosho",Toyota Camry 2008 Red,"7,800,000",Local Used,174233 km,Automatic
"Abuja (FCT), Gudu",Honda Civic 2019 Black,"33,075,000",Local Used,58003 km,CVT
"Lagos State, Surulere",Ford Explorer 2005 Gold,"2,709,000",Local Used,291409 km,Automatic
"Lagos State, Magodo",Toyota Camry 2005 Gold,"8,736,000",Foreign Used,491030 km,Automatic
"Lagos State, Ikeja",Toyota Corolla XSE 2020 Silver,"29,400,000",Foreign Used,195024 km,Automatic
"Abuja (FCT), Jabi",Toyota Avalon 2007 Blue,"4,200,000",Local Used,254890 km,Automatic
"Lagos State, Yaba",Porsche Cayenne 2003 Gray,"10,500,000",Local Used,253600 km,Automatic
"Kaduna State, Kaduna / Kaduna State",Toyota Corolla 2015 Blue,"13,520,000",Local Used,142159 km,Automatic
"Kaduna State, Kaduna / Kaduna State",Pontiac Vibe Automatic 2003 Gray,"6,032,000",Local Used,1 km,Automatic
"Lagos State, Surulere",Ford Edge 2016 Blue,"19,950,000",Local Used,173514 km,Automatic
"Lagos State, Lekki",Honda Accord 2013 Silver,"8,505,000",Local Used,232014 km,Automatic
"Ogun State, Abeokuta North",Ford Explorer 2014 Black,"8,925,000",Local Used,114935 km,Automatic
"Oyo State, Ibadan",Lexus ES 2007 Blue,"6,300,000",Local Used,170837 km,Automatic
"Abuja (FCT), Lugbe District",Mercedes-Benz C230 2007 Silver,"4,935,000",Foreign Used,327510 km,Automatic
"Abuja (FCT), Gudu",Toyota Matrix 2005 Blue,"3,360,000",Local Used,254325 km,Automatic
"Lagos State, Kosofe",Toyota Avalon 2006 Gray,"4,452,000",Local Used,249602 km,Automatic
"Oyo State, Ibadan",Toyota Camry 2009 Black,"5,712,000",Local Used,179481 km,Automatic
"Abuja (FCT), Gudu",Acura TL 2008 Black,"6,825,000",Local Used,344870 km,Automatic
"Abuja (FCT), Gwagwalada",Honda Accord 2003 Gold,"3,640,000",Local Used,170579 km,Automatic
"Abuja (FCT), Kubwa",Toyota Land Cruiser Prado 2012 Black,"28,350,000",Local Used,23618 km,Automatic
"Abuja (FCT), Gwarinpa",Nissan Frontier 2005 White,"8,400,000",Local Used,353908 km,Automatic
"Abuja (FCT), Wuse",Kia Optima 2012 Gray,"11,025,000",Foreign Used,66114 km,Automatic
"Oyo State, Ibadan",Toyota Sequoia 2001 Blue,"5,775,000",Local Used,160181 km,Automatic
"Lagos State, Kosofe",Honda Accord 1998 Black,"1,785,000",Local Used,Automatic,Automatic
"Ogun State, Abeokuta North",Toyota Highlander 2012 White,"17,680,000",Local Used,181401 km,Automatic
"Lagos State, Ogba",Toyota Camry 2007 Gray,"7,280,000",Local Used,151370 km,Automatic
"Lagos State, Amuwo-Odofin",Toyota Avalon 2006 Gold,"4,672,500",Local Used,184052 km,Automatic
"Abuja (FCT), Gwarinpa",Mercedes-Benz S-Class 2007 Black,"9,135,000",Local Used,346695 km,Automatic
"Lagos State, Alimosho",Toyota Camry 2005 Burgandy,"6,738,375",Foreign Used,513744 km,Automatic
"Lagos State, Ajah",Mercedes-Benz M Class 2006 Silver,"8,320,000",Local Used,297690 km,Automatic
"Ondo State, Akure",Toyota Venza V6 2012 Black,"14,560,000",Local Used,265174 km,Automatic
"Lagos State, Lekki",Honda Civic LX 4dr Sedan (2.0L 4cyl) 2017 Silver,"18,720,000",Foreign Used,63862 km,Automatic
"Lagos State, Alimosho",Hyundai Sonata 2011 Gray,"9,450,000",Foreign Used,256982 km,Automatic
"Lagos State, Ikorodu",Mazda 626 2007 Gray,"7,245,000",Local Used,304648 km,Automatic
"Lagos State, Ikeja",Toyota Corolla 2010 Black,"8,216,000",Local Used,200797 km,Automatic
"Lagos State, Ogudu",Toyota Camry 2008 Gold,"6,300,000",Local Used,97490 km,Automatic
"Lagos State, Abule Egba",Honda Accord 2007 Gray,"3,640,000",Local Used,129224 km,Automatic
"Enugu State, Enugu",Toyota Corolla 2007 Gray,"3,675,000",Local Used,320000 km,Automatic
"Abuja (FCT), Garki 2",Kia Mohave 2016 Black,"6,300,000",Local Used,140728 km,Automatic
"Abuja (FCT), Lugbe District",Mercedes-Benz C200 2001 Silver,"3,675,000",Local Used,257475 km,Automatic
"Abuja (FCT), Lugbe District",Peugeot 307 1.6 Break Oxygo 2007 Silver,"2,171,400",Local Used,411880 km,Manual
"Akwa Ibom State, Uyo",Toyota 4-Runner 2014 Gray,"28,350,000",Local Used,93771 km,Automatic
"Lagos State, Ikorodu",Toyota Venza 2010 Purple,"14,560,000",Local Used,125213 km,Automatic
"Lagos State, Ojodu",Toyota Camry 2002 Gray,"3,952,000",Local Used,139581 km,Automatic
"Lagos State, Lekki",Ford Explorer 2015 Black,"9,660,000",Local Used,63840 km,Automatic
"Abuja (FCT), Lugbe District",Toyota Camry 2007 Gray,"6,300,000",Local Used,414567 km,Automatic
"Lagos State, Lekki",Toyota Camry 2010 Black,"6,132,000",Local Used,128933 km,Automatic
"Enugu State, Enugu",Nissan 240SX 2000 Silver,"1,890,000",Local Used,300000 km,Manual
"Lagos State, Surulere",Toyota RAV4 2021 Black,"38,850,000",Foreign Used,22773 km,Automatic
"Abia State, Aba North",Toyota Camry 2008 Black,"7,800,000",Local Used,235716 km,Automatic
"Abuja (FCT), Gudu",Toyota Corolla 2005 Gray,"5,000,000",Local Used,289015 km,Automatic
"Lagos State, Yaba",Lexus RX 350 2008 Black,"10,400,000",Local Used,304450 km,Automatic
"Abuja (FCT), Wuse",Acura RDX 2008 Gray,"6,825,000",Local Used,146223 km,Automatic
"Imo State, Owerri",Toyota Camry 2011 Black,"9,360,000",Local Used,262082 km,Automatic
"Abuja (FCT), Garki 2",Peugeot 307 2004 Blue,"4,160,000",Local Used,228578 km,Manual
"Abuja (FCT), Asokoro",Mazda 323 1998 Silver,"2,100,000",Local Used,196817 km,Manual
"Lagos State, Alimosho",Toyota Sienna 2005 White,"6,760,000",Local Used,228098 km,Automatic
"Abuja (FCT), Lugbe District",Toyota Avensis 2014 Silver,"11,550,000",Local Used,114782 km,Automatic
"Lagos State, Yaba",Mazda CX-9 2008 Gray,"4,830,000",Local Used,299811 km,Automatic
"Abuja (FCT), Wuse",Hyundai Santa Fe 2008 Red,"4,725,000",Local Used,182250 km,Automatic
"Rivers State, Port-Harcourt",Toyota Camry 2008 Silver,"5,460,000",Local Used,109670 km,Automatic
"Lagos State, Lekki",Lexus NX 2020 Gray,"42,000,000",Local Used,68842 km,Automatic
"Lagos State, Lekki",Toyota Camry 2011 Silver,"11,232,000",Foreign Used,212841 km,Automatic
"Lagos State, Ogba",Toyota Highlander 2003 Green,"5,512,000",Local Used,263757 km,Automatic
"Lagos State, Yaba",Kia Sportage 2005 Brown,"3,990,000",Local Used,172369 km,Automatic
"Abuja (FCT), Karu",Peugeot 206 CC 1999 Black,"2,940,000",Local Used,231548 km,Manual
"Lagos State, Amuwo-Odofin",Honda Accord 2004 Gray,"3,120,000",Local Used,241748 km,Automatic
"Lagos State, Ikorodu",Toyota Corolla Sedan 2003 Blue,"4,784,000",Local Used,195455 km,Automatic
"Lagos State, Isolo",Toyota Corolla 2006 Blue,"5,928,000",Local Used,206794 km,Automatic
"Lagos State, Ikotun/Igando",Honda Civic 2008 Gray,"4,160,000",Local Used,192582 km,Automatic
"Lagos State, Mushin",Toyota Highlander 2019 Gray,"35,700,000",Foreign Used,234636 km,Automatic
"Abuja (FCT), Karu",Honda Accord 2009 Black,"4,373,250",Local Used,165314 km,Automatic
"Lagos State, Ilupeju",Mercedes-Benz M Class 2014 Black,"34,320,000",Foreign Used,98239 km,Automatic
"Abuja (FCT), Wuse",Toyota Corolla 2009 Black,"8,320,000",Local Used,184362 km,Automatic
"Enugu State, Enugu",Toyota Camry 2009 Red,"7,280,000",Local Used,131724 km,Automatic
"Lagos State, Ojodu",Volkswagen Tiguan 2012 Black,"7,875,000",Local Used,33033 km,Automatic
"Lagos State, Lekki",Mercedes-Benz GLC-Class 2016 Gray,"52,000,000",Local Used,78391 km,Automatic
"Lagos State, Surulere",Toyota Camry 2007 Blue,"5,145,000",Local Used,138292 km,Automatic
"Ogun State, Abeokuta North",Toyota Camry 2005 Black,"5,200,000",Local Used,275824 km,Automatic
"Ogun State, Abeokuta North",Lexus IS 2006 Silver,"7,350,000",Local Used,115558 km,Automatic
"Abuja (FCT), Wuse",Lexus ES 2013 Gray,"18,720,000",Local Used,253200 km,Automatic
"Rivers State, Port-Harcourt",Toyota RAV4 2008 Green,"8,840,000",Local Used,124968 km,Automatic
"Lagos State, Ikeja",Toyota Camry 2011 Gray,"10,038,000",Foreign Used,389255 km,Automatic
"Lagos State, Alimosho",BMW X5 2009 Black,"13,125,000",Foreign Used,185402 km,Automatic
"Oyo State, Ibadan",BMW X5 2008 White,"7,350,000",Local Used,182927 km,Automatic
"Lagos State, Yaba",Kia Sorento 2005 Silver,"5,250,000",Local Used,163230 km,Automatic
"Abuja (FCT), Lugbe District",Toyota Highlander Limited 3.5l 4WD 2013 Black,"14,505,750",Local Used,207282 km,Automatic
"Lagos State, Ikorodu",Lexus LS 460 L 2012 Black,"10,500,000",Foreign Used,277797 km,Automatic
"Lagos State, Abule Egba",Acura MDX 2008 Red,"7,280,000",Local Used,190082 km,Automatic
"Abuja (FCT), Gwarinpa",Suzuki VS 2007 Black,"5,250,000",Local Used,262550 km,Automatic
"Lagos State, Amuwo-Odofin",Toyota Sienna 2023 Black,"66,675,000",Foreign Used,160932 km,Automatic
"Lagos State, Kosofe",Chevrolet Nubira 2005 Silver,"3,675,000",Local Used,251861 km,Manual
"Lagos State, Magodo",Nissan Murano 2004 Gray,"4,095,000",Local Used,190166 km,Automatic
"Abuja (FCT), Gwarinpa",Mercedes-Benz C350 2012 Gray,"20,072,000",Foreign Used,133835 km,Automatic
"Lagos State, Ikorodu",Toyota Camry 2.3 2007 Green,"5,827,500",Local Used,86426 km,Automatic
"Lagos State, Ikorodu",Nissan UA-QG 2007 White,"8,925,000",Foreign Used,Manual,Manual
"Abuja (FCT), Asokoro",Toyota Corolla 2010 Gray,"8,320,000",Local Used,119173 km,Automatic
"Lagos State, Alimosho",Honda Accord 2007 Black,"2,625,000",Local Used,172188 km,Automatic
"Lagos State, Ikorodu",Honda Accord 2004 Purple,"8,400,000",Foreign Used,225429 km,Automatic
"Abuja (FCT), Gudu",Toyota Camry 2010 Blue,"6,825,000",Local Used,138208 km,Automatic
"Oyo State, Ibadan",Lexus RX 300 2000 Black,"4,160,000",Local Used,221926 km,Automatic
"Lagos State, Alimosho",Toyota RAV4 2013 Black,"24,960,000",Foreign Used,116196 km,Automatic
"Rivers State, Port-Harcourt",Honda Odyssey 2008 White,"3,780,000",Local Used,453745 km,Automatic
"Lagos State, Isolo",Toyota RAV4 2015 Gray,"17,850,000",Foreign Used,93158 km,Automatic
"Lagos State, Alimosho",Toyota Camry 2007 Blue,"6,760,000",Local Used,157269 km,Automatic
"Lagos State, Amuwo-Odofin",Toyota Corolla 2009 Silver,"7,800,000",Local Used,314699 km,Automatic
"Lagos State, Lekki",Mercedes-Benz S-Class 2008 Black,"10,500,000",Foreign Used,205832 km,Automatic
"Lagos State, Isolo",Infiniti QX56 2011 Ivory,"15,750,000",Local Used,91866 km,Automatic
"Delta State, Oshimili South",Mazda CX-7 2007 Blue,"4,200,000",Local Used,180466 km,Automatic
"Lagos State, Ogba",Honda Shuttle 2000 Blue,"2,415,000",Local Used,403229 km,Automatic
"Enugu State, Enugu",Ford Fusion 2010 White,"3,465,000",Local Used,375096 km,Automatic
"Lagos State, Abule Egba",Nissan Armada 2008 Gold,"7,035,000",Local Used,48696 km,Automatic
"Lagos State, Lekki",Ford Edge 2011 Brown,"7,644,000",Local Used,146477 km,Automatic
"Lagos State, Surulere",Mercedes-Benz GLE-Class 2020 Gray,"95,680,000",Local Used,92023 km,Automatic
"Lagos State, Ojodu",Nissan Xterra SE 4x4 2006 Blue,"2,257,500",Local Used,346421 km,Automatic
"Lagos State, Yaba",Honda Accord 2017 Black,"20,800,000",Local Used,91976 km,Automatic
"Lagos State, Ojodu",Nissan Almera Tino 2004 Silver,"2,730,000",Local Used,283759 km,Automatic
"Oyo State, Ibadan",Honda Accord 2008 Gray,"4,725,000",Local Used,94636 km,Automatic
"Oyo State, Ibadan",Hyundai Sonata 2018 Black,"22,880,000",Foreign Used,69214 km,Automatic
"Delta State, Oshimili South",Toyota Corolla 2019 Red,"22,050,000",Local Used,79506 km,CVT
"Imo State, Owerri",Nissan Rogue SV 2012 Silver,"11,970,000",Local Used,188852 km,CVT
"Lagos State, Ogba",Toyota Corolla 2016 Gray,"10,500,000",Local Used,128153 km,Automatic
"Abuja (FCT), Garki 2",Honda Accord 2007 Black,"4,160,000",Local Used,171592 km,Automatic
"Abuja (FCT), Wuse",Nissan X-Trail 2005 Black,"3,675,000",Local Used,422001 km,Automatic
"Abuja (FCT), Wuse",Toyota Venza 2015 Silver,"21,000,000",Foreign Used,129692 km,Automatic
"Imo State, Owerri",Lexus ES 350 2010 Gold,"8,925,000",Local Used,221450 km,Automatic
"Abuja (FCT), Gudu",Toyota RAV4 2008 Red,"7,140,000",Local Used,248717 km,Automatic
"Lagos State, Isolo",Toyota Highlander 2022 White,"97,760,000",Foreign Used,47985 km,Automatic
"Lagos State, Isolo",Toyota Camry 2004 Silver,"4,160,000",Local Used,2106116 km,Automatic
"Lagos State, Lekki",Mercedes-Benz GLE-Class 2020 Silver,"109,200,000",Foreign Used,154264 km,Automatic
"Lagos State, Yaba",Honda Accord 2018 Gray,"28,080,000",Foreign Used,113637 km,Automatic
"Rivers State, Port-Harcourt",Toyota Camry 2011 Gold,"9,450,000",Local Used,278832 km,CVT
"Ogun State, Abeokuta North",Kia Sedona 2006 Silver,"3,150,000",Local Used,301422 km,Automatic
"Ondo State, Akure",Lexus RX 350 2010 Gray,"16,800,000",Local Used,164667 km,Automatic
"Lagos State, Ikeja",Toyota Highlander 2012 Blue,"23,400,000",Foreign Used,228197 km,Automatic
"Lagos State, Yaba",Hyundai Santa Fe 2017 Gray,"23,651,250",Foreign Used,86657 km,Automatic
"Oyo State, Ibadan",Honda Accord 2007 Gray,"2,415,000",Local Used,72715 km,Automatic
"Lagos State, Alimosho",Lexus RX 350 2015 Silver,"27,300,000",Foreign Used,248538 km,Automatic
"Abuja (FCT), Lugbe District",Toyota Highlander Base FWD 2004 Red,"4,904,235",Local Used,453259 km,Automatic
"Rivers State, Port-Harcourt",Chevrolet Optra 2009 Red,"2,100,000",Local Used,Automatic,Automatic
"Lagos State, Ojodu",Toyota Avalon 2003 Black,"4,160,000",Local Used,424439 km,Automatic
"Abuja (FCT), Gwagwalada",Hyundai Sonata 2009 Black,"4,725,000",Local Used,179927 km,Automatic
"Abuja (FCT), Garki 2",Toyota Corolla 2014 Black,"16,640,000",Foreign Used,93071 km,Automatic
"Lagos State, Lekki",Lexus ES 2002 Blue,"5,250,000",Local Used,365708 km,Automatic
"Abuja (FCT), Lugbe District",Toyota Camry 2.4 LE 2008 Blue,"7,072,000",Local Used,255204 km,Automatic
"Delta State, Oshimili South",Hyundai Santa Fe 2022 Black,"27,300,000",Local Used,58011 km,Automatic
"Abuja (FCT), Gwarinpa",Toyota Corolla 2008 Red,"7,072,000",Local Used,100937 km,Automatic
"Oyo State, Ibadan",Mazda 626 2000 Gold,"2,100,000",Local Used,390042 km,Automatic
"Oyo State, Ibadan",Toyota Camry 2007 Silver,"6,760,000",Local Used,111950 km,Automatic
"Lagos State, Ikeja",Hyundai Tucson 2009 Black,"4,725,000",Local Used,332658 km,Automatic
"Abuja (FCT), Lugbe District",Toyota Camry 2008 White,"4,830,000",Local Used,424806 km,Automatic
"Lagos State, Amuwo-Odofin",Toyota Corolla 2005 Silver,"5,000,000",Local Used,169420 km,Automatic
"Lagos State, Amuwo-Odofin",Toyota Corolla 2006 Blue,"6,240,000",Local Used,482800 km,Automatic
"Lagos State, Isolo",Honda Accord 2005 Black,"2,268,000",Local Used,194416 km,Automatic
"Lagos State, Lekki",Toyota Venza 2013 White,"15,600,000",Local Used,117557 km,Automatic
"Lagos State, Isolo",Toyota RAV4 2005 Silver,"3,255,000",Local Used,236887 km,Automatic
"Lagos State, Ikotun/Igando",Ford Fusion 2015 Burgandy,"8,925,000",Foreign Used,306572 km,Automatic
"Lagos State, Ilupeju",Toyota Camry 2007 Gray,"5,934,600",Local Used,153206 km,Automatic
"Oyo State, Ibadan",Toyota Corolla 2014 Gray,"12,480,000",Local Used,96337 km,Automatic
"Abuja (FCT), Karu",Toyota Corolla 2005 Red,"5,040,000",Local Used,235145 km,Automatic
"Ondo State, Akure",Toyota Corolla 2009 Silver,"8,320,000",Local Used,234401 km,Automatic
"Lagos State, Amuwo-Odofin",Mercedes-Benz M Class ML 350 4Matic 2012 White,"18,585,000",Local Used,201262 km,Automatic
"Abuja (FCT), Lugbe District",Toyota Highlander 2018 Burgandy,"42,000,000",Foreign Used,54097 km,Automatic
